width,length,type,region,model,height-min,height-max,stories,shape,library,tags
13.0,07.0,residential,,objects/Blacky75/New-Black/RES_13x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
13.0,07.0,residential,,objects/Blacky75/New-Black/RES_13x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
13.0,07.0,residential,,objects/Blacky75/New-Black/RES_13x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
14.0,07.0,residential,,objects/Blacky75/New-Black/RES_14x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
14.0,07.0,residential,,objects/Blacky75/New-Black/RES_14x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
14.0,07.0,residential,,objects/Blacky75/New-Black/RES_14x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
14.0,07.0,residential,,objects/Blacky75/New-Black/RES_14x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
15.0,07.0,residential,,objects/Blacky75/New-Black/RES_15x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
15.0,07.0,residential,,objects/Blacky75/New-Black/RES_15x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
15.0,07.0,residential,,objects/Blacky75/New-Black/RES_15x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
15.0,07.0,residential,,objects/Blacky75/New-Black/RES_15x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
16.0,07.0,residential,,objects/Blacky75/New-Black/RES_16x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
16.0,07.0,residential,,objects/Blacky75/New-Black/RES_16x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
16.0,07.0,residential,,objects/Blacky75/New-Black/RES_16x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
16.0,07.0,residential,,objects/Blacky75/New-Black/RES_16x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
17.0,07.0,residential,,objects/Blacky75/New-Black/RES_17x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
17.0,07.0,residential,,objects/Blacky75/New-Black/RES_17x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
17.0,07.0,residential,,objects/Blacky75/New-Black/RES_17x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
17.0,07.0,residential,,objects/Blacky75/New-Black/RES_17x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
